,target,label,score,type
0,CSCO,neutral,0.9998782873153687,tweet
1,CSCO,positive,0.9919112324714661,tweet
2,CSCO,positive,0.9978073239326477,tweet
3,CSCO,neutral,0.5386081337928772,tweet
4,CSCO,neutral,0.999876856803894,tweet
5,CSCO,neutral,0.5386081337928772,tweet
6,CSCO,neutral,0.9998668432235718,tweet
7,CSCO,positive,0.9923856258392334,tweet
8,CSCO,neutral,0.5386081337928772,tweet
9,CSCO,neutral,0.999862551689148,tweet
10,CSCO,neutral,0.9998733997344971,tweet
11,CSCO,positive,0.9583165645599365,tweet
12,CSCO,neutral,0.9998748302459717,tweet
13,CSCO,neutral,0.9998748302459717,tweet
14,CSCO,neutral,0.9998742341995239,tweet
15,CSCO,positive,0.7484533190727234,tweet
16,CSCO,neutral,0.999869704246521,tweet
17,CSCO,neutral,0.9998239874839783,tweet
18,CSCO,neutral,0.9998831748962402,tweet
19,CSCO,neutral,0.9998608827590942,tweet
20,CSCO,positive,0.9955325126647949,tweet
21,CSCO,neutral,0.999843955039978,tweet
22,CSCO,neutral,0.9992947578430176,tweet
23,CSCO,neutral,0.9998824596405029,tweet
24,CSCO,negative,0.997958779335022,tweet
25,CSCO,negative,0.9864587187767029,tweet
26,CSCO,neutral,0.9998736381530762,tweet
27,CSCO,positive,0.999090313911438,tweet
28,CSCO,neutral,0.9519551396369934,tweet
29,CSCO,positive,0.9992539286613464,tweet
30,CSCO,neutral,0.9998883008956909,tweet
31,CSCO,neutral,0.9998244643211365,tweet
32,CSCO,neutral,0.9998515844345093,tweet
33,CSCO,neutral,0.9998313188552856,tweet
34,CSCO,positive,0.998957633972168,tweet
35,CSCO,neutral,0.9998677968978882,tweet
36,CSCO,neutral,0.9998716115951538,tweet
37,CSCO,neutral,0.9998716115951538,tweet
38,CSCO,neutral,0.9998663663864136,tweet
39,CSCO,neutral,0.9998536109924316,tweet
40,CSCO,positive,0.9979633092880249,tweet
41,CSCO,neutral,0.9998677968978882,tweet
42,CSCO,positive,0.9996335506439209,tweet
43,CSCO,positive,0.999618649482727,tweet
44,CSCO,positive,0.9996123909950256,tweet
45,CSCO,positive,0.9992539286613464,tweet
46,CSCO,positive,0.9992539286613464,tweet
47,CSCO,positive,0.9992539286613464,tweet
48,CSCO,positive,0.998957633972168,tweet
49,CSCO,positive,0.9996405839920044,tweet
50,CSCO,positive,0.9995052814483643,tweet
51,CSCO,positive,0.999640941619873,tweet
52,CSCO,positive,0.9995651841163635,tweet
53,CSCO,positive,0.9993147850036621,tweet
54,CSCO,positive,0.999323844909668,tweet
55,CSCO,positive,0.9993096590042114,tweet
56,CSCO,positive,0.9993370175361633,tweet
57,CSCO,positive,0.9993033409118652,tweet
58,CSCO,positive,0.99930739402771,tweet
59,CSCO,positive,0.9992959499359131,tweet
60,CSCO,neutral,0.9998102784156799,tweet
61,CSCO,neutral,0.9998708963394165,tweet
62,CSCO,neutral,0.9968072175979614,tweet
63,CSCO,neutral,0.9998679161071777,tweet
64,CSCO,neutral,0.9998900890350342,tweet
65,CSCO,positive,0.9996480941772461,tweet
66,CSCO,neutral,0.9998788833618164,tweet
67,CSCO,neutral,0.9998718500137329,tweet
68,CSCO,neutral,0.9998599290847778,tweet
69,CSCO,positive,0.9996707439422607,tweet
70,CSCO,neutral,0.9995156526565552,tweet
71,CSCO,negative,0.9983115196228027,tweet
72,CSCO,neutral,0.9996650218963623,tweet
73,CSCO,neutral,0.9997113347053528,tweet
74,CSCO,neutral,0.9994983673095703,tweet
75,CSCO,neutral,0.9998857975006104,tweet
76,CSCO,negative,0.9968554973602295,tweet
77,CSCO,positive,0.9963053464889526,tweet
78,CSCO,neutral,0.9998732805252075,tweet
79,CSCO,neutral,0.9998072981834412,tweet
80,CSCO,positive,0.9994580149650574,tweet
81,CSCO,neutral,0.9998739957809448,tweet
82,FAST,neutral,0.9997634291648865,tweet
83,FAST,neutral,0.9721537828445435,tweet
84,FAST,neutral,0.9996153116226196,tweet
85,FAST,neutral,0.9998606443405151,tweet
86,FAST,neutral,0.999864935874939,tweet
87,FAST,neutral,0.9998466968536377,tweet
88,FAST,neutral,0.9997525811195374,tweet
89,FAST,positive,0.9953460097312927,tweet
90,FAST,neutral,0.9997636675834656,tweet
91,FAST,neutral,0.9599677324295044,tweet
92,FAST,neutral,0.9996115565299988,tweet
93,FAST,neutral,0.9998513460159302,tweet
94,FAST,negative,0.9459201097488403,tweet
95,FAST,neutral,0.6779295206069946,tweet
96,FAST,neutral,0.9998797178268433,tweet
97,FAST,neutral,0.9998581409454346,tweet
98,FAST,neutral,0.9986967444419861,tweet
99,FAST,positive,0.9985484480857849,tweet
100,FAST,negative,0.8595578074455261,tweet
101,FAST,neutral,0.9998430013656616,tweet
102,FAST,positive,0.9737811088562012,tweet
103,FAST,neutral,0.9997658133506775,tweet
104,FAST,positive,0.9989653825759888,tweet
105,FAST,positive,0.7988572120666504,tweet
106,FAST,neutral,0.9998306035995483,tweet
107,FAST,neutral,0.9976040720939636,tweet
108,FAST,neutral,0.9997311234474182,tweet
109,FAST,neutral,0.9993053674697876,tweet
110,FAST,neutral,0.9991191029548645,tweet
111,FAST,positive,0.9866572022438049,tweet
112,FAST,neutral,0.7370563745498657,tweet
113,FAST,neutral,0.9998251795768738,tweet
114,FAST,neutral,0.999810516834259,tweet
115,FAST,neutral,0.9043126106262207,tweet
116,FAST,neutral,0.9998675584793091,tweet
117,FAST,neutral,0.9991046786308289,tweet
118,FAST,neutral,0.9998677968978882,tweet
119,FAST,neutral,0.9995595812797546,tweet
120,FAST,neutral,0.9943631887435913,tweet
121,FAST,neutral,0.9998598098754883,tweet
122,FAST,neutral,0.9998064637184143,tweet
123,FAST,neutral,0.9998070597648621,tweet
124,FAST,neutral,0.9998189806938171,tweet
125,FAST,neutral,0.9997591376304626,tweet
126,FAST,neutral,0.9998862743377686,tweet
127,FAST,positive,0.9973996877670288,tweet
128,FAST,neutral,0.9998382329940796,tweet
129,FAST,neutral,0.9204367399215698,tweet
130,FAST,neutral,0.9998762607574463,tweet
131,FAST,positive,0.7058087587356567,tweet
132,FAST,positive,0.9690642952919006,tweet
133,FAST,neutral,0.9993671774864197,tweet
134,FAST,neutral,0.9964415431022644,tweet
135,FAST,neutral,0.9998314380645752,tweet
136,FAST,neutral,0.9998123049736023,tweet
137,FAST,neutral,0.9966393709182739,tweet
138,FAST,neutral,0.9994834661483765,tweet
139,FAST,neutral,0.9998513460159302,tweet
140,FAST,neutral,0.9998747110366821,tweet
141,FAST,neutral,0.9998490810394287,tweet
142,FAST,neutral,0.9998637437820435,tweet
143,FAST,neutral,0.9998514652252197,tweet
144,FAST,positive,0.8032023310661316,tweet
145,FAST,neutral,0.9648938775062561,tweet
146,FAST,neutral,0.9977484345436096,tweet
147,FAST,neutral,0.9997716546058655,tweet
148,FAST,neutral,0.5246946811676025,tweet
149,FAST,positive,0.998128354549408,tweet
150,FAST,neutral,0.9991276860237122,tweet
151,FAST,neutral,0.9998290538787842,tweet
152,FAST,neutral,0.999864935874939,tweet
153,FAST,neutral,0.9998306035995483,tweet
154,FAST,positive,0.9967530369758606,tweet
155,FAST,neutral,0.9998032450675964,tweet
156,FAST,neutral,0.9998267292976379,tweet
157,FAST,neutral,0.9996864795684814,tweet
158,FAST,neutral,0.9998766183853149,tweet
159,FAST,neutral,0.9998513460159302,tweet
160,FAST,neutral,0.9994682669639587,tweet
161,FAST,neutral,0.999869704246521,tweet
162,FAST,neutral,0.999339759349823,tweet
163,FAST,neutral,0.9994595646858215,tweet
164,FAST,positive,0.7506886720657349,tweet
165,FAST,neutral,0.9998490810394287,tweet
166,FAST,neutral,0.9998674392700195,tweet
167,FAST,neutral,0.9975208640098572,tweet
168,FAST,neutral,0.9998513460159302,tweet
169,FAST,neutral,0.9993755221366882,tweet
170,FAST,neutral,0.9993640780448914,tweet
171,FAST,neutral,0.9998495578765869,tweet
172,FAST,neutral,0.9998189806938171,tweet
173,FAST,neutral,0.9995154142379761,tweet
174,FAST,neutral,0.9998692274093628,tweet
175,FAST,negative,0.6740893125534058,tweet
176,FAST,neutral,0.9998595714569092,tweet
177,FAST,neutral,0.9997594952583313,tweet
178,FAST,positive,0.9923080205917358,tweet
179,FAST,neutral,0.9998430013656616,tweet
180,FAST,neutral,0.9799139499664307,tweet
181,FAST,neutral,0.951793909072876,tweet
182,FB,neutral,0.9998527765274048,tweet
183,FB,neutral,0.9998795986175537,tweet
184,FB,neutral,0.9998536109924316,tweet
185,FB,neutral,0.9998853206634521,tweet
186,FB,neutral,0.9997954964637756,tweet
187,FB,neutral,0.9998502731323242,tweet
188,FB,neutral,0.999647855758667,tweet
189,FB,neutral,0.9998123049736023,tweet
190,FB,neutral,0.9998682737350464,tweet
191,FB,negative,0.6419357657432556,tweet
192,FB,neutral,0.9998615980148315,tweet
193,FB,neutral,0.9998409748077393,tweet
194,FB,neutral,0.9969190359115601,tweet
195,FB,neutral,0.9998095631599426,tweet
196,FB,neutral,0.9998712539672852,tweet
197,FB,positive,0.9994713664054871,tweet
198,FB,neutral,0.9998725652694702,tweet
199,FB,neutral,0.7500976324081421,tweet
200,FB,positive,0.7496241331100464,tweet
201,FB,neutral,0.9985009431838989,tweet
202,FB,neutral,0.999850869178772,tweet
203,FB,neutral,0.9998770952224731,tweet
204,FB,neutral,0.9998281002044678,tweet
205,FB,positive,0.9902862906455994,tweet
206,FB,negative,0.5844202041625977,tweet
207,FB,neutral,0.9998281002044678,tweet
208,FB,neutral,0.9997404217720032,tweet
209,FB,neutral,0.9998637437820435,tweet
210,FB,neutral,0.9998477697372437,tweet
211,FB,neutral,0.9997790455818176,tweet
212,FB,neutral,0.9997972846031189,tweet
213,FB,positive,0.9902862906455994,tweet
214,FB,positive,0.9902862906455994,tweet
215,FB,neutral,0.999861478805542,tweet
216,FB,neutral,0.9998855590820312,tweet
217,FB,neutral,0.9998681545257568,tweet
218,FB,neutral,0.9925515651702881,tweet
219,FB,neutral,0.999885082244873,tweet
220,FB,neutral,0.9998743534088135,tweet
221,FB,neutral,0.7308271527290344,tweet
222,FB,negative,0.9146409034729004,tweet
223,FB,neutral,0.9998955726623535,tweet
224,FB,neutral,0.9958387613296509,tweet
225,FB,neutral,0.9998615980148315,tweet
226,FB,neutral,0.9994670748710632,tweet
227,FB,neutral,0.999847412109375,tweet
228,FB,positive,0.6266228556632996,tweet
229,FB,neutral,0.9998530149459839,tweet
230,FB,neutral,0.9998615980148315,tweet
231,FB,neutral,0.9998726844787598,tweet
232,FB,neutral,0.9995168447494507,tweet
233,FB,neutral,0.9998726844787598,tweet
234,FB,neutral,0.9998657703399658,tweet
235,FB,neutral,0.9998273253440857,tweet
236,FB,neutral,0.9993745684623718,tweet
237,FB,neutral,0.9998564720153809,tweet
238,FB,neutral,0.9998594522476196,tweet
239,FB,neutral,0.9995935559272766,tweet
240,FB,neutral,0.9998788833618164,tweet
241,FB,neutral,0.8854768872261047,tweet
242,FB,neutral,0.8566729426383972,tweet
243,FB,positive,0.9902862906455994,tweet
244,FB,positive,0.9902862906455994,tweet
245,FB,neutral,0.7904949188232422,tweet
246,FB,neutral,0.9996520280838013,tweet
247,FB,neutral,0.9998615980148315,tweet
248,FB,neutral,0.9998612403869629,tweet
249,FB,neutral,0.9998815059661865,tweet
250,FB,neutral,0.9998282194137573,tweet
251,FB,neutral,0.9998801946640015,tweet
252,FB,neutral,0.9998495578765869,tweet
253,FB,neutral,0.9998206496238708,tweet
254,FB,neutral,0.9998062252998352,tweet
