,target,Open,Close,combinedProfit,combinedBuy,combinedMoney,tweetProfit,tweetBuy,tweetMoney,headlineProfit,headlineBuy,headlineMoney
0,CSCO,55.869998931884766,56.099998474121094,68.99986267089844,300,16760.99967956543,22.999954223632812,100,5586.999893188477,68.99986267089844,300,16760.99967956543
1,FAST,57.189998626708984,56.779998779296875,-40.99998474121094,100,5718.999862670898,-40.99998474121094,100,5718.999862670898,-40.99998474121094,100,5718.999862670898
2,FB,326.0400085449219,329.9800109863281,0.0,0,0.0,157.60009765625,40,13041.600341796875,0.0,0,0.0
3,KSU,311.7300109863281,309.67999267578125,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
4,ADP,224.11000061035156,222.13999938964844,-551.600341796875,280,62750.80017089844,0.0,0,0.0,-689.5004272460938,350,78438.50021362305
5,GLW,35.58000183105469,36.439998626708984,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
6,EXPE,165.7899932861328,167.22999572753906,100.8001708984375,70,11605.299530029297,0.0,0,0.0,100.8001708984375,70,11605.299530029297
7,MHK,176.75999450683594,183.57000732421875,476.7008972167969,70,12373.199615478516,0.0,0,0.0,953.4017944335938,140,24746.39923095703
8,ALGN,631.5,661.4600219726562,299.6002197265625,10,6315.0,0.0,0,0.0,599.200439453125,20,12630.0
9,SEE,59.40999984741211,58.9900016784668,-41.99981689453125,100,5940.999984741211,0.0,0,0.0,-41.99981689453125,100,5940.999984741211
