,target,id,text
0,CSCO,1454888900128698368,$qcom made a move from 2 to 100 in dot com.. $csco similar moves..  we not seeing anything new .. https://t.co/YJCACktkXc
1,CSCO,1454888633530339337,I am not a $tsla hater .. i made my first million in tsla  but understand this cycle .. $QCOM $CSCO were the tsla of 1998-2000 dot com era ..similar move split and dead money for 10 years ..we dont know when party stops but keep this as knowledge https://t.co/S8Wzs9DFzT
2,CSCO,1454882811161235457,$XLF $SPY $FB $CHWY $PTON $DIS $F $ADBE $CSCO $JPM $CCL $MGM $IWM $HD $VIDT $TWTR $XLE $XOM $AMD $BTC.X $BTC $ETH $ZI $Z $BA $DOW $NET $PROP $CL Was able to close it for a 100%profit. https://t.co/PURQNvzRw2
3,CSCO,1454877351632769036,These investment bankers know something. FOLLOW THE MONEY 👇 $LYFT $AMD $CZR $CELG $MU $SIRI $QQQ $AMRN $SQQ $MSFT $AAPL $TVIX $JD $CMCSA $CSCO $INTC $TQQQ $MRVL $IQ $HBAN $BAC $WFC $COTY $GE $BMY $CHK $F $AZN $BB $T $CX $ITUB https://t.co/rGZYh8BxT1
4,CSCO,1454873320898252803,$CSCO Real price will come out soon; Follow price targets    &lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;👌👌 https://t.co/LFuUuXUGL6
5,CSCO,1454871257963327494,Investment bank is paying .50 a share for a.01 stock. They know PUGE is going big 👇 $LYFT $AMD $CZR $CELG $MU $SIRI $QQQ $AMRN $SQQ $MSFT $AAPL $TVIX $JD $CMCSA $CSCO $INTC $TQQQ $MRVL $IQ $HBAN $BAC $WFC $COTY $GE $BMY $CHK $F $AZN $BB $T $CX $ITUB $WISH https://t.co/I8DxpItKsR
6,CSCO,1454870421929529346,RT @Garnet8Ltd: To unlock the value of #information across the #SupplyChain partners must be able to access it.  This enables them to detec…
7,CSCO,1454867156974374917,Cisco Systems $CSCO settled +3.5% to $55.97. https://t.co/mNH0ERwq9B https://t.co/Gh6zkT2eDk
8,CSCO,1454864251206586378,$CSCO Real price will come out soon; Follow price targets    &lt;&gt;&lt;&gt;&lt;&gt;&lt;&gt;👌👌 https://t.co/uPmYz0bwXK
9,CSCO,1454860113806860290,RT @Dividend_Dollar: Earn yourself MONTHLY dividend income with these stocks  $MO $LOW $HD $KO $SBUX $MSFT $STOR $AAPL $MMM $CSCO $PG $AVGO…
10,CSCO,1454851659889352711,To unlock the value of #information across the #SupplyChain partners must be able to access it.  This enables them to detect changes and respond. This drives #efficiencies and #agility.  #DigitalTransformation #InfoSec #CSCO #CISO #B2B #ERP #IT #Cloud #CTO https://t.co/aP1QbZzoHM
