,target,id,text
0,CSCO,1453868918854991876,"$csco  REAL PRICE” will come out soon!  For a limited time, we are opening our trading chatroom to the public,,..     https://t.co/GBwumpa8p3"
1,CSCO,1453868700856041474,RT @fzzzan: October Position.  SLB: Buy $27 | Exit $34   SBUX: Buy $112 | Exit $114  CSCO: Buy $55 | Exit $56  PFE: Buy $42 | Exit $43.50…
2,CSCO,1453867932476329988,@finance_z CSCO was growing at 50% until the wheels fell off.  AMAT grew 3% from 2018 to 2020.    A lit of times people look at the rear view mirror to project growth rates.  Not saying it’s right just saying it happens.
3,CSCO,1453866448657420291,"@finance_z Yep, have CSCO $450B market cap vs $12.2B gross profit.  37X GP. AMAT $123B vs $7.7B GP so 16X.   Fair.    CSCO historical growth looked a lot better, however."
4,CSCO,1453861152233041925,@jrbluefire71 @Mattcryderman1 @anthonypesec @elonmusk Just look at $CSCO. They have grown their top line since Y2k. Yet after the bubble burst any investor in that company is still underwater. They will never get there man unless Elon makes a Tesla phone or.some shit.
5,CSCO,1453851085592928259,SweepCast alerted: $CSCO with Unusual Options Activity Alerted on $40 CALL Expiring: 01-20-2023 worth 51K🐂 |🥇 Start Using SweepCast!  https://t.co/fOffmHMbOM  🥇 | https://t.co/Bi5rw4GBJG
6,CSCO,1453850342777659396,"RT @CSCOrigins: Forthcoming from @eerdmansbooks, *Paul, Then and Now*,  a collection of essays on Paul from CSCO director, Matthew Novenson…"
7,CSCO,1453849827436113966,$CSCO $EBAY $FB NEW ARTICLE : 4 Nasdaq Stocks Outperforming the S&amp;P 500 in the Year to Date https://t.co/N1LRX4Wnsi Get all the latest $CSCO related news here : https://t.co/drS7ztHboQ https://t.co/jBfZEJXMzd
8,CSCO,1453848898188062731,"RT @CSCOrigins: Forthcoming from @eerdmansbooks, *Paul, Then and Now*,  a collection of essays on Paul from CSCO director, Matthew Novenson…"
9,CSCO,1453847344349425664,4 Nasdaq Stocks Outperforming the S&amp;P 500 - https://t.co/AVW6OH9iOW https://t.co/0eE8Jks6ei $EBAY $ORLY $CSCO $LULU
10,CSCO,1453846291465871362,"✅ $CSCO: ""Cisco"" mentioned during Telecom Italia Rsp earnings event https://t.co/frGh52AxEL"
