,headlines,target,tweets,combined,alpha,combinedBuy,tweetBuy,headlineBuy
0,0.39963884353637696,CSCO,0.14279872179031372,0.322586807012558,0.3,30,10,30
1,0.19993255138397217,FAST,0.025368663668632507,0.14756338506937028,0.3,10,0,10
2,0.17980804443359374,FB,0.06310449063777925,0.1447969782948494,0.3,10,0,10
3,-0.19661586284637453,KSU,0.019434562751225064,-0.13180073516709465,0.3,0,0,0
4,0.5900633692741394,ADP,0.25620766878128054,0.4899066591262817,0.3,40,20,50
5,-0.39928245544433594,GLW,0.33034320672353107,-0.18039475679397582,0.3,0,30,0
6,0.19985773563385006,EXPE,0.0497520238161087,0.15482602208852764,0.3,10,0,10
7,0.0004606723785400391,MHK,0.19942935705184936,0.060151277780532836,0.3,0,10,0
8,0.2042514681816101,ALGN,0.0,0.14297602772712706,0.3,10,0,20
9,0.19991818666458128,SEE,0.10944434513851088,0.17277603420676013,0.3,10,10,10
