,target,id,text
0,CSCO,1453044743043170313,$CSCO - Cisco CEO: Chip shortage will last until the second half of 2022 https://t.co/yDwVDZ6sHB
1,CSCO,1453044078992674816,RT @Dividend_Dollar: Earn yourself MONTHLY dividend income with these stocks  $MO $LOW $HD $KO $SBUX $MSFT $STOR $AAPL $MMM $CSCO $PG $AVGO…
2,CSCO,1453041327550173190,Added $CSCO to tomorrow's Large Cap buy watch list. Earnings 11/17/2021.
3,CSCO,1453041265252048896,RT @danielnewmanUV: This looks fun. @Webex Hologram for #collaboration in creative environments...Welcome to the Webex Metaverse I suppose?…
4,CSCO,1453039972181708804,🚨 #NASDAQ: $IONM Assure Holdings Expands Operational Footprint With First Neuromonitoring Case in Nevada  🔥 https://t.co/FsFRYPa0qi  👉 @ipoguy   $CERN $PCLN  $NFLX $CHTR $FOXA $ROST $DISH $MAT $BBBY $VIAB $QVCA $NCLH $TSCO $LVNTA $ILMN $SHPG $COST $CHKP $CSCO $CTXS $CTSH $CSC https://t.co/30zK4LpOBp
5,CSCO,1453039685199175696,This looks fun. @Webex Hologram for #collaboration in creative environments...Welcome to the Webex Metaverse I suppose?  #WebexOne $CSCO https://t.co/lZeyRI1mVN
6,CSCO,1453039565854281731,RT @Dividend_Dollar: Earn yourself MONTHLY dividend income with these stocks  $MO $LOW $HD $KO $SBUX $MSFT $STOR $AAPL $MMM $CSCO $PG $AVGO…
7,CSCO,1453039087527469068,"RT @StockGuru54: 👉#CBDL #MarijuanaStocks @TENAssociates  🚀CBD Life Sciences, Inc. $CBDL Set to Expand High Premium CBD Distillate https://t…"
8,CSCO,1453038731670261764,RT @Dividend_Dollar: Earn yourself MONTHLY dividend income with these stocks  $MO $LOW $HD $KO $SBUX $MSFT $STOR $AAPL $MMM $CSCO $PG $AVGO…
9,CSCO,1453038459271069701,"RT @SquawkCNBC: ""We've got a ways to go here,""  says $CSCO CEO @ChuckRobbins on chip shortage. ""I've talked to a lot of folks in the semico…"
10,CSCO,1453038372339990535,Best and worst performing Dow Jones stocks so far today  Best: 1 Cisco $CSCO 2 $PG 3 Amgen $AMGN 4 Honeywell $HON 5 $DOW 6 Goldman $GS 7 Verizon $VZ  Worst: 1 Intel $INTC 2 Walgreens $WBA 3 American Express $AXP 4 Boeing $BA 5 Walmart $WMT 6 Nike $NKE 7 Disney $DIS
11,CSCO,1453038279520043013,RT @Dividend_Dollar: Earn yourself MONTHLY dividend income with these stocks  $MO $LOW $HD $KO $SBUX $MSFT $STOR $AAPL $MMM $CSCO $PG $AVGO…
12,CSCO,1453037959314247685,"👉#CBDL #MarijuanaStocks @TENAssociates  🚀CBD Life Sciences, Inc. $CBDL Set to Expand High Premium CBD Distillate https://t.co/fOUldtgdn0  $TWTR $GS $S $GOOG $DIS  $VWAGY $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA  $CDNS $CAVM $CHKP $CSCO $CTXS $CTSH $CSC $DVMT $DOV https://t.co/CMTNDR2Gvg"
13,CSCO,1453037631412047880,"$CSCO looks good for puts #bearish  Daily- Big hidden bearish divergence   4 - hour rising wedge , Testing 200 MA as resistence as well as rising wedge trend line support.  Target - $53-$54 https://t.co/sxtw8QBHWT"
14,CSCO,1453037470010990600,RT @Dividend_Dollar: Earn yourself MONTHLY dividend income with these stocks  $MO $LOW $HD $KO $SBUX $MSFT $STOR $AAPL $MMM $CSCO $PG $AVGO…
15,CSCO,1453036755871883265,RT @abhaysk: 98% meetings will have remote participants but only 6% rooms have video devices. Lets fix that @Csco_Jason #WebexOne https://t…
16,CSCO,1453036351759261700,#MoversAndShakers ( $DJI ):  $CSCO : 56.135 (1.80 %) $UNH : 454.18 (1.04 %) $GS : 419.03 (1.03 %) $HON : 219.46 (0.88 %) $PG : 142.07 (0.87 %)  #trending #stockstowatch #ira #trading
